iter	Passed	Remaining
0	61	60976
1	64	32023
2	68	22804
3	72	17999
4	75	15005
5	78	13027
6	82	11663
7	85	10561
8	87	9680
9	91	9028
10	94	8469
11	97	7988
12	101	7672
13	104	7381
14	108	7117
15	111	6844
16	114	6601
17	117	6392
18	120	6203
19	122	6016
20	125	5867
21	129	5744
22	132	5614
23	135	5509
24	138	5406
25	141	5315
26	144	5208
27	147	5116
28	150	5052
29	154	4991
30	157	4922
31	160	4864
32	163	4795
33	167	4747
34	169	4680
35	172	4630
36	175	4574
37	178	4526
38	182	4485
39	184	4430
40	188	4400
41	191	4360
42	193	4313
43	196	4279
44	201	4279
45	204	4246
46	207	4211
47	210	4169
48	213	4148
49	217	4126
50	219	4092
51	222	4058
52	225	4028
53	228	3997
54	231	3978
55	234	3948
56	237	3920
57	239	3897
58	242	3868
59	245	3850
60	248	3829
61	251	3804
62	254	3778
63	256	3757
64	259	3734
65	266	3776
66	269	3759
67	273	3745
68	276	3726
69	279	3709
70	281	3689
71	284	3672
72	288	3660
73	290	3639
74	293	3621
75	296	3608
76	300	3596
77	303	3581
78	305	3565
79	309	3555
80	312	3543
81	315	3529
82	317	3512
83	320	3495
84	323	3480
85	325	3462
86	329	3452
87	331	3437
88	334	3428
89	337	3416
90	340	3401
91	343	3394
92	346	3382
93	349	3372
94	353	3366
95	357	3366
96	362	3371
97	365	3361
98	367	3349
99	371	3343
100	374	3336
101	377	3325
102	380	3312
103	383	3303
104	386	3292
105	388	3280
106	391	3268
107	394	3257
108	397	3250
109	400	3240
110	403	3232
111	406	3221
112	409	3213
113	412	3203
114	415	3198
115	418	3189
116	421	3179
117	423	3168
118	427	3163
119	430	3153
120	432	3143
121	435	3135
122	438	3124
123	440	3114
124	444	3108
125	446	3097
126	449	3089
127	451	3078
128	454	3068
129	457	3060
130	460	3053
131	463	3046
132	465	3037
133	468	3030
134	471	3022
135	474	3017
136	477	3009
137	481	3006
138	484	3001
139	487	2996
140	491	2992
141	494	2986
142	497	2979
143	500	2972
144	503	2966
145	505	2959
146	508	2953
147	511	2946
148	514	2937
149	517	2930
150	520	2924
151	522	2915
